"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 22:53:04 GMT 2025","Mon Mar 31 22:53:06 GMT 2025","1278","ParallelTestSuite","test2","tests.CustomerTest","tests.CustomerTest","testSortFirstNames","testSortFirstNames","Checking sorting in alphabetical order by name"
"passed","Mon Mar 31 22:52:56 GMT 2025","Mon Mar 31 22:53:00 GMT 2025","4169","ParallelTestSuite","test2","tests.CustomerTest","tests.CustomerTest","testAddCustomer","testAddCustomer","Checking the addition of a new client"
"passed","Mon Mar 31 22:53:02 GMT 2025","Mon Mar 31 22:53:04 GMT 2025","1242","ParallelTestSuite","test2","tests.CustomerTest","tests.CustomerTest","testReverseSortFirstNames","testReverseSortFirstNames","Checking sorting in reverse alphabetical order by name"
"passed","Mon Mar 31 22:53:01 GMT 2025","Mon Mar 31 22:53:02 GMT 2025","1233","ParallelTestSuite","test2","tests.CustomerTest","tests.CustomerTest","testDeleteAverageLengthNameCustomer","testDeleteAverageLengthNameCustomer","Check for deletion of a client with a name length approximating the arithmetic mean of the lengths of all names"
